Intervals,Absolute frequency,Cumulative frequency,Absolute relative frequency,Cumulative relative frequency,Class mark,Percentage
[2.   2.73],9,9,0.016981132075471698,0.016981132075471698,2.3636363636363638,1.6981132075471699
[2.73 3.45],8,17,0.01509433962264151,0.03207547169811321,3.0909090909090913,1.509433962264151
[3.45 4.18],23,40,0.04339622641509434,0.07547169811320754,3.818181818181819,4.339622641509433
[4.18 4.91],21,61,0.03962264150943396,0.11509433962264151,4.545454545454547,3.9622641509433962
[4.91 5.64],22,83,0.04150943396226415,0.15660377358490565,5.272727272727273,4.150943396226415
[5.64 6.36],27,110,0.0509433962264151,0.20754716981132076,6.000000000000002,5.09433962264151
[6.36 7.09],59,169,0.11132075471698114,0.31886792452830187,6.727272727272728,11.132075471698114
[7.09 7.82],39,208,0.07358490566037736,0.39245283018867927,7.454545454545457,7.3584905660377355
[7.82 8.55],78,286,0.1471698113207547,0.539622641509434,8.181818181818183,14.716981132075471
[8.55 9.27],99,385,0.18679245283018867,0.7264150943396226,8.90909090909091,18.679245283018865
[ 9.27 10.  ],145,530,0.27358490566037735,1.0,9.636363636363637,27.358490566037734
